"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Phel_contig_10" 5492.70960072414 7.8877750591597 0.812278424355852 9.71067902660939 2.71522169672706e-22 1.3615792493049e-19
"Phel_contig_10001" 136.224412089297 1.62711085418276 0.605546763341518 2.68701106617112 0.00720945641948518 0.0410466780774008
"Phel_contig_10005" 51.5511935035151 -2.84055388693257 1.0119025743205 -2.80714167452339 0.004998325356922 0.0311114732671304
"Phel_contig_10010" 8.7342056518699 2.90002034037817 0.91698104998707 3.16257390533759 0.00156381035899104 0.0127007637835498
"Phel_contig_10013" 189.785994443343 -2.0774014231678 0.511661541709359 -4.06010859488797 4.90498975193304e-05 0.000793439905529814
"Phel_contig_10045" 50.2388038133868 3.44639963451349 0.811006268070415 4.249535139492 2.14214604214256e-05 0.00039559915152202
"Phel_contig_1005" 3425.16142786886 -1.73403378305877 0.424918444284224 -4.08086258994889 4.48688759925449e-05 0.000736776328955668
"Phel_contig_10050" 281.308679616738 -1.60255870701439 0.395195096076221 -4.0551077756929 5.01111923334536e-05 0.000805941273409006
"Phel_contig_1006" 78.3048539525125 -2.14005721567816 0.529845431901283 -4.03902173507251 5.36745918656914e-05 0.000849970844629415
"Phel_contig_10064" 146.509765995238 2.11489832261889 0.778497973958346 2.71663946903483 0.0065948402843647 0.0384885978637184
"Phel_contig_10065" 28.4083629912895 2.50742701713306 0.671298932952881 3.73518695479449 0.00018757578419606 0.0023743816255808
"Phel_contig_10088" 26.9096014065836 -3.94349759437255 0.890023834771297 -4.43077751438632 9.38939257303989e-06 0.000198088835545783
"Phel_contig_10091" 35.278750858583 -2.50492104681369 0.87585288264073 -2.85997922306456 0.00423668764081199 0.0274906769048972
"Phel_contig_10092" 299.826637976748 -1.76915807321778 0.437741858673118 -4.04155562956772 5.30977809952088e-05 0.000843568889458407
"Phel_contig_10095" 25.9815160428041 -2.82908890518191 0.751605139654036 -3.76406274507934 0.000167174907668782 0.00218253649484537
"Phel_contig_10096" 133.134858412466 2.0093859436903 0.67076504320223 2.99566288382814 0.00273849000950344 0.0194539226719429
"Phel_contig_10101" 8.11907672979931 4.88004383503746 1.30372911980799 3.74314246793549 0.000181733119625763 0.00232754068141522
"Phel_contig_10104" 564.435027793299 -2.0840272313882 0.550958972863163 -3.78254522393592 0.000155232878387383 0.00205405236983901
"Phel_contig_10111" 79.888449006555 -1.3289103461636 0.471887821713401 -2.81615732598989 0.0048601860045413 0.0304689368760414
"Phel_contig_10123" 20.543708195679 -2.4520713134178 0.775174852726297 -3.16324930406842 0.00156018661719352 0.0126871391569454
"Phel_contig_10131" 231.736116465646 -1.70372960081717 0.641311037606686 -2.65663539360765 0.00789247513514391 0.0441067185530654
"Phel_contig_10136" 49.0343555401358 1.45559347366773 0.512363685738407 2.84093801763089 0.00449810539687698 0.0286919266949521
"Phel_contig_10138" 1183.17734641357 -1.43466374635093 0.505997871303309 -2.83531577446291 0.00457804103629551 0.0290974158423241
"Phel_contig_1014" 79.7722706317807 2.74204801541175 0.783895583526712 3.49797609915774 0.000468803143036461 0.00496662138047891
"Phel_contig_10147" 196.905721355388 -1.22838741356091 0.469222850856564 -2.61791899375424 0.00884678038930668 0.0480203281336901
"Phel_contig_10155" 119.980625844103 1.53754871132958 0.506991993243661 3.03268834975593 0.00242385782090565 0.0177803309589189
"Phel_contig_10156" 243.798360832583 -1.73960442419104 0.480528024253636 -3.62019348797195 0.00029438279536774 0.00343921405555968
"Phel_contig_10157" 457.965880020653 -2.19063375937331 0.468017087736458 -4.68067046433755 2.85938242161099e-06 7.25304046944827e-05
"Phel_contig_10159" 333.229684171214 -1.72976527495113 0.412096953788361 -4.19747163634575 2.69911449121458e-05 0.000483393609017248
"Phel_contig_10160" 163.35831656403 -1.36244105128955 0.474890565970856 -2.86895792192503 0.00411826581962979 0.0268793716080901
"Phel_contig_10161" 47.7332349044404 -2.55659925471819 0.799662898544933 -3.19709625064535 0.00138818597168885 0.0116069914699952
"Phel_contig_10165" 435.071834734386 3.27225685482559 0.54307803330209 6.02538982276491 1.68702509161483e-09 1.03103592864722e-07
"Phel_contig_10172" 49.6474630690602 -2.47453829019854 0.626926549654302 -3.94709442687192 7.91053637661476e-05 0.00117826625984353
"Phel_contig_10178" 712.298216273985 -2.59851082741462 0.526028110899534 -4.93987065248479 7.81744105661836e-07 2.34487261877738e-05
"Phel_contig_10182" 17.3431113640648 3.77328775172388 1.21386787853802 3.10848307170662 0.00188050418536233 0.0146760015639117
"Phel_contig_1019" 1731.73412320662 1.6820101631658 0.468129880247128 3.5930416624503 0.000326840305310728 0.00371197203888613
"Phel_contig_10198" 95.4883304727112 1.81841549952844 0.495741603721742 3.66807120055453 0.000244387135542072 0.00296493747505974
"Phel_contig_10208" 26.8479420932029 4.18147898076833 0.829518090585446 5.0408532715871 4.63460720515778e-07 1.47502927959161e-05
"Phel_contig_1021" 738.986274969809 2.98539634127715 0.55339941942454 5.39465029504648 6.86571377700152e-08 2.79104625610056e-06
"Phel_contig_10214" 272.205171173867 -1.85578965520239 0.417973290046606 -4.43997188192447 8.99706321293978e-06 0.000190634415228021
"Phel_contig_10224" 17.2754195021612 3.07489003038192 0.815186963701272 3.77200589226882 0.00016194043097021 0.00212762915805537
"Phel_contig_1023" 175.433198906664 -1.1070043522799 0.403478653047844 -2.7436503614694 0.00607602148967815 0.0360743024510126
"Phel_contig_10235" 238.896644436903 -1.81444164141696 0.466947508838153 -3.88575076871404 0.000102014125689046 0.00144676595801354
